Stock,Entry_Date,Entry_Price,Exit_Date,Exit_Price,Result,Profit_%,ER_21,CumRet_21,WMA_Ratio_21
PFC,2023-11-29,328.1000061035156,2023-12-18,411.7999877929688,Win,25.51,0.739485179043643,0.3811829168111129,1.071587806853874
CONCOR,2023-11-30,776.0,2023-12-19,860.4000244140625,Win,10.88,0.5883940959816878,0.1265970002212613,1.0333708582406838
PFC,2023-11-30,334.8999938964844,2023-12-19,408.75,Win,22.05,0.7504885257175241,0.40154843345331975,1.0794369784940818
CONCOR,2023-12-01,785.1500244140625,2023-12-20,830.5999755859375,Win,5.79,0.6185006344928127,0.14087476095229387,1.039679858282793
CONCOR,2023-12-04,800.9000244140625,2023-12-21,839.75,Win,4.85,0.784730826640348,0.18564030261149148,1.0532054100952584
ACI,2023-12-05,608.4500122070312,2023-12-22,648.7000122070312,Win,6.62,0.5355047525890229,0.15619954813687648,1.090550106609081
CONCOR,2023-12-05,798.0999755859375,2023-12-22,832.4000244140625,Win,4.3,0.7429299680860078,0.16937725360576922,1.0434055174410386
MRPL,2023-12-05,124.9000015258789,2023-12-22,129.9499969482422,Win,4.04,0.5208072806577172,0.19808154940891037,1.0493011852925531
CONCOR,2023-12-06,798.9000244140625,2023-12-26,841.75,Win,5.36,0.6803829384625889,0.11929950881129597,1.038976152831371
JYOTHYLAB,2023-12-06,476.7000122070313,2023-12-26,478.0499877929688,Win,0.28,0.523787944909748,0.31612367791570506,1.076238947956536
MRPL,2023-12-07,129.89999389648438,2023-12-27,131.10000610351562,Win,0.92,0.5445028677155955,0.19065073981002037,1.0741954707165362
ACI,2023-12-08,622.25,2023-12-28,650.5499877929688,Win,4.55,0.5197036478383777,0.1875,1.0837698879248552
BHEL,2023-12-08,176.6999969482422,2023-12-28,192.6000061035156,Win,9.0,0.656357388316151,0.3702985740989652,1.0871543519844966
CONCOR,2023-12-08,843.2000122070312,2023-12-28,856.9000244140625,Win,1.62,0.7146926978601582,0.13485869745226278,1.0758310007649665
BHEL,2023-12-11,179.64999389648438,2023-12-29,193.5500030517578,Win,7.74,0.7543371067685275,0.43375889482042684,1.0887707080412155
CONCOR,2023-12-11,844.5999755859375,2023-12-29,859.6500244140625,Win,1.78,0.7328101462233463,0.13865854477376138,1.068189640972907
BHEL,2023-12-12,177.89999389648438,2024-01-01,198.1499938964844,Win,11.38,0.7107774716999435,0.41414936073802094,1.0647822670119451
CONCOR,2023-12-12,855.6500244140625,2024-01-01,861.2000122070312,Win,0.65,0.8296548107027792,0.16359563856960516,1.0720279613717851
DCBBANK,2023-12-12,127.9000015258789,2024-01-01,145.3000030517578,Win,13.6,0.647311959215389,0.13336289991363268,1.088201933685151
PFC,2023-12-12,389.7000122070313,2024-01-01,395.0499877929688,Win,1.37,0.8228403680874689,0.405337285834935,1.0914087380738344
BHEL,2023-12-13,179.64999389648438,2024-01-02,202.0,Win,12.44,0.7047352185800189,0.39209600657221627,1.0624910944151027
CONCOR,2023-12-13,862.75,2024-01-02,879.6500244140625,Win,1.96,0.8359889958466941,0.17086249383932972,1.0707262991392157
DCBBANK,2023-12-13,129.89999389648438,2024-01-02,146.3000030517578,Win,12.63,0.7407405663146774,0.16085783847324295,1.0930618745119638
BHEL,2023-12-14,181.3999938964844,2024-01-03,194.3999938964844,Win,7.17,0.6792736724739321,0.328937684223329,1.0606253674825952
CONCOR,2023-12-14,875.75,2024-01-03,882.1500244140625,Win,0.73,0.8483728650351917,0.1873771466264659,1.0758605214861396
DCBBANK,2023-12-14,129.39999389648438,2024-01-03,148.35000610351562,Win,14.64,0.691982953934546,0.14513268934941925,1.0781154849827375
WIPRO,2023-12-14,217.1999969482422,2024-01-03,227.9499969482422,Win,4.95,0.5413031646207835,0.13821564481488627,1.049036214037759
BHEL,2023-12-15,181.5500030517578,2024-01-04,195.0500030517578,Win,7.44,0.6755928802303365,0.3213246806148737,1.050649763395799
CONCOR,2023-12-15,859.9000244140625,2024-01-04,913.2999877929688,Win,6.21,0.6491446158659452,0.13811136034282767,1.0484047908020369
DCBBANK,2023-12-15,129.85000610351562,2024-01-04,154.5500030517578,Win,19.02,0.6970953857686812,0.14860683412866663,1.0715648836223657
WIPRO,2023-12-15,223.2749938964844,2024-01-04,226.1999969482422,Win,1.31,0.5512047242188529,0.140176164310103,1.0694139251991601
BHEL,2023-12-18,187.3999938964844,2024-01-05,195.8000030517578,Win,4.48,0.696926254361679,0.35160477566552667,1.071437566814372
CONCOR,2023-12-18,869.3499755859375,2024-01-05,895.9000244140625,Win,3.05,0.7072433873091666,0.15651185508628596,1.0514573871570136
DCBBANK,2023-12-18,134.75,2024-01-05,157.85000610351562,Win,17.14,0.7392856052943633,0.1814993107790466,1.0981682634925143
WIPRO,2023-12-18,222.625,2024-01-05,228.3000030517578,Win,2.55,0.5044526258071008,0.12125407493429421,1.0584052209166563
BHEL,2023-12-19,184.75,2024-01-08,195.1499938964844,Win,5.63,0.6181555860145046,0.30243209059277676,1.0463829186082234
