condition,feature,operator,threshold,matched_count,hit_count,non_hit_count,accuracy_pct,coverage_pct,non_hit_leakage_pct
close_ema_55_daily_range_5_pct <= 0.6584307388118309,close_ema_55_daily_range_5_pct,<=,0.6584307388118309,86,4,82,4.651162790697675,30.76923076923077,19.806763285024154
close_to_close_ema_3_daily_difference_pct <= -4.168792271528552,close_to_close_ema_3_daily_difference_pct,<=,-4.168792271528552,43,2,41,4.651162790697675,15.384615384615385,9.903381642512077
close_to_close_ema_221_daily_difference_pct <= -38.257440459015626,close_to_close_ema_221_daily_difference_pct,<=,-38.257440459015626,43,2,41,4.651162790697675,15.384615384615385,9.903381642512077
volume_to_volume_ema_3_daily_difference_pct <= -47.10305817662055,volume_to_volume_ema_3_daily_difference_pct,<=,-47.10305817662055,43,2,41,4.651162790697675,15.384615384615385,9.903381642512077
volume_to_volume_ema_5_daily_difference_pct <= -54.62104508109377,volume_to_volume_ema_5_daily_difference_pct,<=,-54.62104508109377,43,2,41,4.651162790697675,15.384615384615385,9.903381642512077
volume_to_volume_ema_8_daily_difference_pct <= -59.98404057279322,volume_to_volume_ema_8_daily_difference_pct,<=,-59.98404057279322,43,2,41,4.651162790697675,15.384615384615385,9.903381642512077
volume_to_volume_ema_21_daily_difference_pct <= -64.5426641710278,volume_to_volume_ema_21_daily_difference_pct,<=,-64.5426641710278,43,2,41,4.651162790697675,15.384615384615385,9.903381642512077
volume_to_volume_ema_55_daily_difference_pct <= -66.08125011408653,volume_to_volume_ema_55_daily_difference_pct,<=,-66.08125011408653,43,2,41,4.651162790697675,15.384615384615385,9.903381642512077
volume_to_volume_ema_144_daily_difference_pct <= -62.38294900609696,volume_to_volume_ema_144_daily_difference_pct,<=,-62.38294900609696,43,2,41,4.651162790697675,15.384615384615385,9.903381642512077
close_ema_3_daily_slope_pct <= -4.001958917467423,close_ema_3_daily_slope_pct,<=,-4.001958917467423,43,2,41,4.651162790697675,15.384615384615385,9.903381642512077
close_ema_3_daily_volatility_5_daily <= 1.4412817776401758,close_ema_3_daily_volatility_5_daily,<=,1.4412817776401758,43,2,41,4.651162790697675,15.384615384615385,9.903381642512077
close_ema_13_daily_range_5_pct <= 1.567660165460268,close_ema_13_daily_range_5_pct,<=,1.567660165460268,43,2,41,4.651162790697675,15.384615384615385,9.903381642512077
close_ema_21_daily_range_5_pct <= 0.9769841912081739,close_ema_21_daily_range_5_pct,<=,0.9769841912081739,43,2,41,4.651162790697675,15.384615384615385,9.903381642512077
close_ema_55_daily_volatility_5_daily <= 0.13759939837531637,close_ema_55_daily_volatility_5_daily,<=,0.13759939837531637,43,2,41,4.651162790697675,15.384615384615385,9.903381642512077
close_ema_144_daily_volatility_5_daily <= 0.0757192708638859,close_ema_144_daily_volatility_5_daily,<=,0.0757192708638859,43,2,41,4.651162790697675,15.384615384615385,9.903381642512077
close_ema_144_daily_range_5_pct <= 0.25493100197900664,close_ema_144_daily_range_5_pct,<=,0.25493100197900664,43,2,41,4.651162790697675,15.384615384615385,9.903381642512077
close_ema_221_daily_slope_pct <= -0.3465894926384677,close_ema_221_daily_slope_pct,<=,-0.3465894926384677,43,2,41,4.651162790697675,15.384615384615385,9.903381642512077
close_to_close_ema_8_daily_difference_pct >= 6.142592931228378,close_to_close_ema_8_daily_difference_pct,>=,6.142592931228378,87,4,83,4.597701149425287,30.76923076923077,20.048309178743963
close_to_close_ema_13_daily_difference_pct >= 7.988320371296701,close_to_close_ema_13_daily_difference_pct,>=,7.988320371296701,87,4,83,4.597701149425287,30.76923076923077,20.048309178743963
volume_to_volume_ema_3_daily_difference_pct >= 18.19739784872934,volume_to_volume_ema_3_daily_difference_pct,>=,18.19739784872934,87,4,83,4.597701149425287,30.76923076923077,20.048309178743963
volume_to_volume_ema_5_daily_difference_pct >= 25.35505753675556,volume_to_volume_ema_5_daily_difference_pct,>=,25.35505753675556,87,4,83,4.597701149425287,30.76923076923077,20.048309178743963
