condition,feature,operator,threshold,matched_count,miss_count,hit_count,miss_accuracy_pct,miss_coverage_pct,hit_leakage_pct
close_ema_3_daily_slope_pct <= 2.489458409010025,close_ema_3_daily_slope_pct,<=,2.489458409010025,341,206,135,60.410557184750736,86.5546218487395,71.42857142857143
close_ema_3_daily_range_5_pct >= 8.026844815250932,close_ema_3_daily_range_5_pct,>=,8.026844815250932,214,129,85,60.280373831775705,54.20168067226891,44.97354497354497
close_to_close_ema_13_daily_difference_pct <= 0.9378097283289452,close_to_close_ema_13_daily_difference_pct,<=,0.9378097283289452,256,154,102,60.15625,64.70588235294117,53.96825396825397
close_ema_13_daily_slope_pct <= 0.15654630580235446,close_ema_13_daily_slope_pct,<=,0.15654630580235446,256,154,102,60.15625,64.70588235294117,53.96825396825397
close_ema_55_daily_range_5_pct >= 3.277345240994885,close_ema_55_daily_range_5_pct,>=,3.277345240994885,87,52,35,59.77011494252874,21.84873949579832,18.51851851851852
volume_to_volume_ema_5_daily_difference_pct <= -18.49666666685596,volume_to_volume_ema_5_daily_difference_pct,<=,-18.49666666685596,171,102,69,59.64912280701754,42.857142857142854,36.507936507936506
close_to_close_ema_21_daily_difference_pct <= 0.3847873896095213,close_to_close_ema_21_daily_difference_pct,<=,0.3847873896095213,256,152,104,59.375,63.86554621848739,55.026455026455025
volume_to_volume_ema_3_daily_difference_pct <= -0.2873583508153718,volume_to_volume_ema_3_daily_difference_pct,<=,-0.2873583508153718,256,152,104,59.375,63.86554621848739,55.026455026455025
close_ema_21_daily_slope_pct <= 0.03849355079387347,close_ema_21_daily_slope_pct,<=,0.03849355079387347,256,152,104,59.375,63.86554621848739,55.026455026455025
volume_to_volume_ema_3_daily_difference_pct <= -20.808721116642495,volume_to_volume_ema_3_daily_difference_pct,<=,-20.808721116642495,128,76,52,59.375,31.932773109243694,27.513227513227513
close_to_close_ema_13_daily_difference_pct <= -3.622455777752884,close_to_close_ema_13_daily_difference_pct,<=,-3.622455777752884,214,127,87,59.345794392523366,53.36134453781513,46.03174603174603
volume_to_volume_ema_3_daily_difference_pct <= -7.047034930623999,volume_to_volume_ema_3_daily_difference_pct,<=,-7.047034930623999,214,127,87,59.345794392523366,53.36134453781513,46.03174603174603
